id,title,required_skills,min_experience,description
1,Security Engineer,"PostgreSQL, Terraform, Machine Learning, Microservices",9,"We are seeking a talented Security Engineer to join our growing team. The ideal candidate has 9+ years of experience and proficiency in PostgreSQL, Terraform, Machine Learning, Microservices. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with PostgreSQL and Machine Learning and Terraform is a plus."
2,Engineering Manager,"TensorFlow, Microservices, PyTorch, React, Go",3,"We are seeking a talented Engineering Manager to join our growing team. The ideal candidate has 3+ years of experience and proficiency in TensorFlow, Microservices, PyTorch, React, Go. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Microservices and Go and PyTorch is a plus."
3,DevOps Engineer,"Agile, Node.js, Linux, Flask, GraphQL",2,"We are seeking a talented DevOps Engineer to join our growing team. The ideal candidate has 2+ years of experience and proficiency in Agile, Node.js, Linux, Flask, GraphQL. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Agile and Linux and GraphQL is a plus."
4,UX Designer,"Vue.js, HTML, PyTorch, CI/CD, JavaScript, Agile, NumPy, Angular, Elasticsearch, REST API",6,"We are seeking a talented UX Designer to join our growing team. The ideal candidate has 6+ years of experience and proficiency in Vue.js, HTML, PyTorch, CI/CD, JavaScript. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with REST API and NumPy and Agile is a plus."
5,Security Engineer,"Kafka, Data Visualization, Django, Agile, Rust",3,"We are seeking a talented Security Engineer to join our growing team. The ideal candidate has 3+ years of experience and proficiency in Kafka, Data Visualization, Django, Agile, Rust. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Django and Agile and Rust is a plus."
6,Platform Engineer,"MongoDB, Java, Linux, Machine Learning, TensorFlow, Docker, Data Visualization, C#, Node.js",8,"We are seeking a talented Platform Engineer to join our growing team. The ideal candidate has 8+ years of experience and proficiency in MongoDB, Java, Linux, Machine Learning, TensorFlow. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Machine Learning and TensorFlow and Linux is a plus."
7,Senior Software Engineer,"Vue.js, Deep Learning, Kafka, AWS, Java, Testing, FastAPI, Scrum",9,"We are seeking a talented Senior Software Engineer to join our growing team. The ideal candidate has 9+ years of experience and proficiency in Vue.js, Deep Learning, Kafka, AWS, Java. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Deep Learning and Java and Kafka is a plus."
8,Data Engineer,"Vue.js, Kafka, CSS, NumPy, TensorFlow",3,"We are seeking a talented Data Engineer to join our growing team. The ideal candidate has 3+ years of experience and proficiency in Vue.js, Kafka, CSS, NumPy, TensorFlow. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with CSS and Vue.js and TensorFlow is a plus."
9,DevOps Engineer,"Kafka, Linux, TensorFlow, Go, Tailwind CSS, REST API, Docker, PyTorch, Deep Learning, Azure, Java, HTML",7,"We are seeking a talented DevOps Engineer to join our growing team. The ideal candidate has 7+ years of experience and proficiency in Kafka, Linux, TensorFlow, Go, Tailwind CSS. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with Java and Deep Learning and TensorFlow is a plus."
10,Software Engineer,"Redis, Vue.js, Data Visualization, Kubernetes, Go, Testing, Pandas, CI/CD, C#, Tailwind CSS, Java, TensorFlow",9,"We are seeking a talented Software Engineer to join our growing team. The ideal candidate has 9+ years of experience and proficiency in Redis, Vue.js, Data Visualization, Kubernetes, Go. You will work on building scalable systems, collaborating with cross-functional teams, and delivering high-quality software solutions. Experience with TensorFlow and Java and Redis is a plus."
